party;bop;lower;median;upper
PSC;Març 22;23,0;26,0;29,0
PSC;Juny 22;25,0;27,0;29,0
PSC;Octubre 22;23,0;25,0;27,0
PSC;Març 23;23,0;25,0;27,0
ERC;Març 22;20,0;22,5;25,0
ERC;Juny 22;19,0;21,0;23,0
ERC;Octubre 22;18,0;20,0;22,0
ERC;Març 23;18,0;20,0;22,0
Junts per Catalunya;Març 22;13,0;15,5;18,0
Junts per Catalunya;Juny 22;14,0;15,5;17,0
Junts per Catalunya;Octubre 22;11,0;13,0;15,0
Junts per Catalunya;Març 23;14,0;15,5;17,0
PP;Març 22;4,0;6,0;8,0
PP;Juny 22;7,0;8,5;10,0
PP;Octubre 22;8,0;9,5;11,0
PP;Març 23;7,0;8,0;9,0
CUP;Març 22;6,0;7,5;9,0
CUP;Juny 22;6,0;7,0;8,0
CUP;Octubre 22;6,0;7,5;9,0
CUP;Març 23;6,0;7,0;8,0
Vox;Març 22;6,0;8,0;10,0
Vox;Juny 22;4,0;5,0;6,0
Vox;Octubre 22;5,0;6,5;8,0
Vox;Març 23;6,0;7,0;8,0
Ciudadanos;Març 22;2,0;3,5;5,0
Ciudadanos;Juny 22;4,0;5,0;6,0
Ciudadanos;Octubre 22;2,0;3,0;4,0
Ciudadanos;Març 23;3,0;4,0;5,0
En Comú Podem;Març 22;6,0;7,5;9,0
En Comú Podem;Juny 22;4,0;5,0;6,0
En Comú Podem;Octubre 22;6,0;7,0;8,0
En Comú Podem;Març 23;6,0;7,5;9,0
